book_id,title,author,genre,publish_year,total_copies
B0469,Put positive require us,Maria Miller,Sci-Fi,2001,3
B0470,Join trade local chance,Steven Skinner,Mystery,1994,3
B0471,Into notice necessary true message,Jennifer Marshall,Fantasy,1988,1
B0472,Spend green one shoulder administration,Julie Hartman,Mystery,2020,3
B0473,And indicate region finish,Nicole Cole,Biography,1981,5
B0474,Game truth special,Blake Hendrix,Biography,1980,3
B0475,The blood move,Bruce Jackson,Fantasy,2004,2
B0476,Least if price season,Elizabeth Li,History,1994,3
B0477,Guess purpose real house few,Adrian Rodriguez,Mystery,2000,3
B0478,Receive could,John Thomas,Science,2001,4
B0479,Job personal so,Eric Ford,Sci-Fi,2009,1
B0480,Instead bring total school,John Smith,Fiction,2024,4
B0481,One cut notice street,Adam Mccoy,Romance,1988,4
B0482,Woman support say other,Donna Freeman,Technology,1980,2
B0483,Message right very toward,Crystal Brown,Biography,1988,5
B0484,Instead firm,Steven Butler,Fantasy,2011,6
B0485,Bring performance position large,Christopher Barber,Mystery,1996,2
B0486,Gas discussion detail training,Lance Kirby,Sci-Fi,2006,6
B0487,Capital fall represent where,Megan Navarro,Sci-Fi,2014,4
B0488,Son suddenly perform executive,Mary Anderson,Poetry,2000,7
B0489,Choose man soldier,Katherine Young,Self-Help,2007,7
B0490,Another adult thing ground city,Stephanie Johnson,Biography,2008,3
B0491,Front box,Justin Tucker,Self-Help,2006,2
B0492,Size show show news,Sarah Russo,Technology,2007,1
B0493,Prove relationship unit just lead,Ashley Rodriguez,Poetry,2020,2
B0494,Participant teach big none medical,Bruce Harris,Sci-Fi,1999,5
B0495,Church factor kid media,Annette Holland,Science,2018,1
B0496,Standard but dark wide,Adriana Davenport,History,2002,7
B0497,Game measure be head,Heather Ortega,Biography,2012,1
B0498,Send morning skin,Jeffrey Hardin,History,2022,2
B0499,Weight might radio want,Randy Robbins,Science,1990,5
B0500,Want be fire word clearly,Peter Keller,Sci-Fi,1982,6
